32	Минск	Minszk=T	Minszk	
32	Кюйсек	Kyujszek=T	Kőszeg	
32	Колбино на Дону	Kolbino_na_Donu=T		
32	Гогенау	Gogenau=T	Gaggenau	
32	Бегинг	Beging=T		
31	Сенсард	Szenszard=T	Szekszárd	
31	Острогожк	Osztrogozsk=T	Osztrogozsszk;Ostrogozhsk	
31	Лицлов	Liclov=T		
31	Ландеберг	Langyeberg=T	Landsberg	
31	Конушвар	Konusvár=T	Kaposvár;Kapuvár	
31	БССР	BSzSzR=T	BSzSzR;Belorusz Szovjet Szocialista Köztársaság	
31	Богороджан	Bogorodzsan=T		
30	Штаф	Staf=T		
30	Санкт-Пельтен	Sankt-Pelten=T	Sankt Pölten	
30	р-не Мишкольц	r-ne_Miskolyc=T	Miskolc;Miskolci járás	
30	Мазойфейн	Mazojfén=T		
30	Зологерсек	Zologerszek=T	Zalaegerszeg	
30	Граз	Graz=T	Graz	
30	взят из дома	vzjat_iz_doma=T	otthonról elhurcolt	
30	Братислов	Bratiszlov=T	Pozsony	
29	Унтергольд	Untergolyd=T	Unterhaid	
29	Соево	Szoevo=T		
29	Самбатай	Szambataj=T	Szombathely	
29	Припять	Pripjaty=T		
29	Болмас	Bolmasz=T		
29	Берегдейдо	Bereggyejdo=T	Beregdéda	
29	Бенешов	Benesov=T	Benešov	
28	Шлофок	Slofok=T	Siófok	
28	Шёнроде	Sonrogye=T		
28	Унтергайм	Untergaim=T	Unterhaid	
28	Солнцево	Szolncevo=T	Szolncevo;Solntsevo	
28	Соева	Szoeva=T		
28	р-не Ковель	r-ne_Kovely=T	Kovel	
28	р-не Воронежа	r-ne_Voronezsa=T	Voronyezs	
28	Перлеберг	Perleberg=T	Perleberg	
28	Дойчброд	Dojcsbrod=T	Deutschbrod;Havlíčkův Brod	
28	Деречко	Gyerecsko=T	Derecske	
28	Грау	Grau=T		
28	Бенешау	Benesau=T	Benešov	
27	Цветель	Zwetel=T	Zwettl	
27	Фельбак	Felbak=T		
27	Унтергай	Untergaj=T	Unterhaid	
27	СССР	SzSzSzR=T	SzSzSzR;Szovjet Szocialista Köztársaságok Szövetsége;Szovjetunió	
27	р-не Унгвар	r-ne_Ungvár=T	Ungvár;Ungvári járás	
27	Пресбург	Preszburg=T	Pozsony	
27	Отыния	Otinija=T		
27	Олнар	Olnar=T		
27	Новое-Место	Novoe-Meszto=T		
27	Надворное	Nadvornoe=T		
27	Морошевиз	Moroseviz=T	Maroshévíz	
27	Лансберг	Lanszberg=T	Landsberg	
27	Кондензов	Kongyenzov=T		
27	Дойчланберг	Dojcslanberg=T	Deutschlandsberg	
27	Венгер.	Venger.=T		
27	Бротиславль	Brotiszlavly=T	Pozsony	
27	Арокты	Arokti=T	Ároktő	
26	Яссы	Jászszi=T		
26	Штир	Stir=T		
26	Унтерхаль	Unterchal=T	Unterhaid	
26	Унтергальд	Untergalyd=T	Unterhaid	
26	Сенготхарт	Szengothart=T	Szentgotthárd	
26	Санктфлория	Sanktfloria=T	Sankt Florian	
26	р-не Прешов	r-ne_Presov=T	Eperjes;Eperjesi járás	
26	р-не Коломыи	r-ne_Kolomii=T	Kolomija;Kolomjia	
26	Польше	Polyse=T		
26	Нодьвар	Nogyvár=T		
26	Ново-Место	Novo-Meszto=T		
26	Вамошбалок	Vamosbalok=T	Vámosbalog	
26	Валуйки	Valujki=T	Valujki	
26	Болмос	Bolmosz=T		
26	Бейг	Beig=T		
26	Абауй	Abauj=T	Abaúj	
25	Чешска Липа	Csesszka_Lipa=T	Česká Lípa	
25	Фельбах	Felybah=T		
25	Унтергант	Untergant=T	Unterhaid	
25	р-не Эгер	r-ne_Eger=T	Eger;Egri járás	
25	Нойштад	Nojstad=T		
25	Новый сад	Novij_szad=T	Újvidék	
25	Николаев	Nikolaev=T		
25	Моршто	Morsto=T		
25	Коломец	Kolomec=T		
25	Дунайская Стреда	Dunajszkaja_Sztreda=T	Dunaszerdahely	
25	Делатын	Gyelatin=T	Deljatin;Deliatyn;Delatyn	
25	Гриц	Griz=T		
24	Тиборлагерь	Tiborlagery=T		
24	Сонислав	Szoniszlav=T		
24	Свитавка	Szvitavka=T		
24	Сантпелтен	Santpelten=T	Sankt Pölten	
24	Ростовом	Rosztovom=T		
24	р-не Дона	r-ne_Dona=T		
24	Ольмиц	Olymic=T	Olmütz;Olomouc	
24	Обоуй	Obouj=T	Abaúj	
24	Нужица	Nuzsica=T		
24	Нестербах	Nesterbach=T	Nestelbach	
24	Надворная	Nadvornaja=T		
24	Ляйбниц	Ljajbnic=T	Leibnitz	
24	Крумау	Krumau=T		
24	Коротояком	Korotojakom=T		
24	Земпли	Zempli=T	Zemplén	
24	Борнхольм	Bornholym=T	Bornholm	Dániai sziget.
24	Бекинг	Beking=T		
23	Франштадт	Franstadt=T		
23	Фельдбах	Felydbah=T		
23	Унтергойт	Untergoit=T	Unterhaid	
23	Тячево	Tyacsevo=T		
23	Санпелтен	Sanpelten=T	Sankt Pölten	
23	Рунгури	Runguri=T	Rungury;Runhury	
23	оз. Балатон	oz._Balaton=T	Balaton tó	
23	Ноуград	Nougrad=T	Nógrád	
23	Новое-место	Novoe-meszto=T		
23	Могошфон	Mogosfon=T		
23	Золагерсек	Zolagerszek=T	Zalaegerszeg	
23	Екатериновка	Ekaterinovka=T	Jekatyerinovka	
23	Делятин	Gyeljatin=T	Deljatin;Deliatyn;Delatyn	
23	Брадислав	Bradiszlav=T		
23	Бемешлейбо	Bemeslébo=T		
22	Ясонаты	Jászonati=T	Jászapáti	
22	Шороншар	Soronsar=T	Soroksár	
22	Унтерхай	Unterchai=T	Unterhaid	
22	р-не Берлина	r-ne_Berlina=T	Berlin	
22	Ратибор	Ratibor=T	Ratiboř	
22	Нойштат	Nojstat=T		
22	Мукачева	Mukacseva=T	Munkács	
22	Коломыя	Kolomija=T	Kolomija;Kolomjia	
22	Домрад	Domrad=T	Dombrád	
22	Дойчламберг	Dojcslamberg=T	Deutschlandsberg	
22	Грейсвалд	Grészvald=T	Greifswald	
22	Генрихдорф	Genrihdorf=T	Heinrichsdorf	
22	Бреславль	Breszlavly=T		
22	Базиль	Bazily=T		
21	Хогенау	Hogenau=T	Hagenau	
21	Фильбок	Filybok=T		
21	Сент-Николай	Sent-Nikolai=T		
21	Свалево	Szvalevo=T		
21	Сантфлориан	Santflorian=T	Sankt Florian	
21	Сампельтен	Sampelten=T	Sankt Pölten	
21	р-не Коложвар	r-ne_Kolozsvár=T	Kolozsvár;Kolozsvári járás	
21	Реппен	Reppen=T		
21	Острогожек	Osztrogozsek=T	Osztrogozsszk;Ostrogozhsk	
21	Мокку	Mokku=T		
21	Модьяровар	Mogyjarovár=T	Magyaróvár	
21	Литорадлице	Litoradlice=T	Litoradlice	
21	Клецко	Klecko=T	Klecko	
21	Исошек	Iszosek=T		
21	Иглоу	Iglou=T	Iglau;Jihlava;Igló	
21	Злабинск	Zlabinszk=T		
21	Дочлонберг	Docslonberg=T	Deutschlandsberg	
21	Герм.	Germ.=T		
21	Вен.	Ven.=T		
20	Ясонати	Jászonati=T	Jászapáti	
20	Турецкий Св. Мартын	Tureckij_Szv._Martin=T		
20	Трансильвании	Transzilyvanii=T	Erdély	
20	Сенфлория	Szenflorija=T	Sankt Florian	
20	Сентпельтен	Sentpelten=T	Sankt Pölten	
20	Сантфлория	Santfloria=T	Sankt Florian	
20	Санпюльтен	Sanpülten=T	Sankt Pölten	
20	р-не Комароми	r-ne_Komaromi=T	Komárom;Komáromi járás	
20	р-не Зала	r-ne_Zala=T	Zala	
20	р-не Делатин	r-ne_Gyelatin=T	Deljatin;Deliatyn;Delatyn	
20	Конденсово	Kongyenszovo=T		
20	Ковель	Kovely=T	Kovel	
20	Итак	Itak=T		
20	Жилино	Zsilino=T		
20	Дебренец	Gyebrenec=T	Debrecen	
20	Врешен	Vresen=T		
19	Чооп	Csoop=T		
19	Чактория	Csaktorija=T	Csáktornya	
19	Цветль	Zwetl=T	Zwettl	
19	Хосупай	Hoszupaj=T	Hosszúpályi	
19	Фелдбах	Feldbah=T		
19	Торноуц	Tornouc=T	Tarnóc	
19	Сентфлориян	Sentflorian=T	Sankt Florian	
19	Сентниколай	Szentnikolaj=T		
19	Сантпюльтен	Santpülten=T	Sankt Pölten	
19	Сан Пельтен	San_Pelten=T	Sankt Pölten	
19	Розенау	Rosenau=T	Rosenau	
19	р-не Торда	r-ne_Torda=T	Torda;Tordai járás	
19	р-не Нодьконижо	r-ne_Nogykonizso=T	Nagykanizsa;Nagykanizsai járás	
19	р-не Колошвар	r-ne_Kolosvár=T	Kolozsvár;Kolozsvári járás	
